obsID,species,class,order,year,month,day,dcmlLng,dcmlLtt,indvdlC,bssOfRc,firename,fireyear,firesize,fireID
115611,Melanerpes uropygialis,Aves,Piciformes,2013,10,26,-114.58019,32.769012,1,HUMAN_OBSERVATION,HAUGHTELIN,2010,2319.5,356
116409,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,11,10,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
116602,Agelaius tricolor,Aves,Passeriformes,2009,1,6,-121.03,37.062,NA,HUMAN_OBSERVATION,BASALT,2004,410.184,929
116959,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,2,7,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
117169,Buteo swainsoni,Aves,Accipitriformes,2015,4,9,-121.07212,37.074978,2,HUMAN_OBSERVATION,SAN LUIS,2005,332.2597,727
117169,Buteo swainsoni,Aves,Accipitriformes,2015,4,9,-121.07212,37.074978,2,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
117169,Buteo swainsoni,Aves,Accipitriformes,2015,4,9,-121.07212,37.074978,2,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938
117918,Colaptes chrysoides,Aves,Piciformes,2018,10,4,-115.585526,35.289474,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
117932,Empidonax traillii,Aves,Passeriformes,2013,8,31,-115.43524,35.131176,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
118655,Colaptes chrysoides,Aves,Piciformes,2004,5,16,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
118822,Buteo swainsoni,Aves,Accipitriformes,2017,7,26,-121.03,37.062,2,HUMAN_OBSERVATION,BASALT,2004,410.184,929
119091,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,2,9,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
119238,Colaptes chrysoides,Aves,Piciformes,2019,5,26,-115.51266,35.25319,3,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
119545,Colaptes chrysoides,Aves,Piciformes,2014,4,6,-115.60192,35.277576,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
119692,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,1,23,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
119709,Colaptes chrysoides,Aves,Piciformes,2014,4,5,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
119999,Buteo swainsoni,Aves,Accipitriformes,2016,4,15,-117.4823,34.318203,4,HUMAN_OBSERVATION,BLUE CUT,2016,36266.55,414
119999,Buteo swainsoni,Aves,Accipitriformes,2016,4,15,-117.4823,34.318203,4,HUMAN_OBSERVATION,LOUISIANA,2002,6564.211,518
121216,Colaptes chrysoides,Aves,Piciformes,2010,6,1,-115.52253,35.26816,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
122282,Agelaius tricolor,Aves,Passeriformes,2010,3,22,-117.38007,34.318535,10,HUMAN_OBSERVATION,OLD,2003,91428,512
122407,Empidonax traillii,Aves,Passeriformes,2019,5,27,-116.2235,35.832287,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
122867,Agelaius tricolor,Aves,Passeriformes,2011,5,21,-120.174,35.9561,10,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941
123706,Colaptes chrysoides,Aves,Piciformes,2018,2,9,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
124125,Haliaeetus leucocephalus,Aves,Accipitriformes,2017,5,6,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
124375,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2018,5,27,-116.479508,33.257227,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
124967,Empidonax traillii,Aves,Passeriformes,2017,5,20,-120.28292,35.825462,3,HUMAN_OBSERVATION,TURKEY,2012,2530.048,975
125169,Empidonax traillii,Aves,Passeriformes,2008,9,22,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
125182,Agelaius tricolor,Aves,Passeriformes,2008,5,17,-117.85744,34.45432,12,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110
125281,Buteo swainsoni,Aves,Accipitriformes,2016,4,10,-116.48428,33.12087,1,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
126507,Empidonax traillii,Aves,Passeriformes,2003,9,6,-116.58022,34.044693,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
127047,Colaptes chrysoides,Aves,Piciformes,2015,5,25,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
127556,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,11,26,-121.15877,37.169483,2,HUMAN_OBSERVATION,MCCABE,2015,1728.974,997
127556,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,11,26,-121.15877,37.169483,2,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112
129190,Colaptes chrysoides,Aves,Piciformes,2012,3,19,-115.55262,35.31624,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
129994,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,2,23,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
130350,Buteo swainsoni,Aves,Accipitriformes,2016,4,30,-121.06041,37.08305,2,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
130608,Empidonax traillii,Aves,Passeriformes,2019,5,11,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
131155,Colaptes chrysoides,Aves,Piciformes,1973,6,25,-115.60192,35.277576,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
131733,Buteo swainsoni,Aves,Accipitriformes,2014,4,5,-115.43524,35.131176,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
132080,Empidonax traillii,Aves,Passeriformes,2005,5,25,-116.2235,35.832287,NA,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
132275,Haliaeetus leucocephalus,Aves,Accipitriformes,2014,12,7,-121.06041,37.08305,2,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
132344,Colaptes chrysoides,Aves,Piciformes,2017,3,18,-115.52008,35.26856,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
132356,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,3,12,-120.82764,36.535694,1,HUMAN_OBSERVATION,NEW IDRIA,2003,632.0136,911
132566,Empidonax traillii,Aves,Passeriformes,2013,5,26,-116.58022,34.044693,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
132699,Colaptes chrysoides,Aves,Piciformes,2019,5,12,-115.520065,35.268368,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
132863,Colaptes chrysoides,Aves,Piciformes,2019,6,25,-115.50702,35.243885,3,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
133584,Agelaius tricolor,Aves,Passeriformes,2012,4,16,-118.42872,34.70799,280,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418
134650,Buteo swainsoni,Aves,Accipitriformes,2012,9,8,-115.43524,35.131176,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
134836,Colaptes chrysoides,Aves,Piciformes,2013,4,7,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
134851,Colaptes chrysoides,Aves,Piciformes,2012,9,14,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
134927,Buteo swainsoni,Aves,Accipitriformes,1996,4,20,-116.58022,34.044693,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
135169,Buteo swainsoni,Aves,Accipitriformes,2012,4,15,-116.58022,34.044693,2,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
135229,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,12,3,-121.06041,37.08305,3,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
135269,Buteo swainsoni,Aves,Accipitriformes,2019,4,24,-116.56976,34.04773,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
135287,Buteo swainsoni,Aves,Accipitriformes,2016,4,9,-116.4843,33.1208,13,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
135638,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,1,31,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
136401,Empidonax traillii,Aves,Passeriformes,2018,5,19,-115.43524,35.131176,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
136752,Buteo swainsoni,Aves,Accipitriformes,2014,4,5,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
136894,Empidonax traillii,Aves,Passeriformes,2013,5,18,-120.167534,35.92559,1,HUMAN_OBSERVATION,GARZA,2017,48886.66,1045
137416,Colaptes chrysoides,Aves,Piciformes,2014,4,5,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
137502,Colaptes chrysoides,Aves,Piciformes,2017,6,12,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
138372,Buteo swainsoni,Aves,Accipitriformes,2008,4,12,-116.58022,34.044693,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
138814,Colaptes chrysoides,Aves,Piciformes,2015,5,25,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
138838,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,3,18,-114.513596,34.734142,1,HUMAN_OBSERVATION,TOPOCK,2016,2228.4,358
139411,Colaptes chrysoides,Aves,Piciformes,2012,9,22,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
139662,Empidonax traillii,Aves,Passeriformes,2008,6,5,-116.22368,35.83723,2,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
139932,Buteo swainsoni,Aves,Accipitriformes,2016,4,15,-117.4823,34.318203,4,HUMAN_OBSERVATION,BLUE CUT,2016,36266.55,414
139932,Buteo swainsoni,Aves,Accipitriformes,2016,4,15,-117.4823,34.318203,4,HUMAN_OBSERVATION,LOUISIANA,2002,6564.211,518
140135,Empidonax traillii,Aves,Passeriformes,2017,5,27,-116.44083,33.11509,4,HUMAN_OBSERVATION,NARROWS,2010,49.86191,296
141042,Agelaius tricolor,Aves,Passeriformes,1989,4,23,-117.85744,34.45432,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110
142520,Colaptes chrysoides,Aves,Piciformes,2019,6,7,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
142611,Agelaius tricolor,Aves,Passeriformes,2009,4,4,-120.174,35.9561,10,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941
143213,Colaptes chrysoides,Aves,Piciformes,2017,3,17,-115.57676,35.354145,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
143577,Empidonax traillii,Aves,Passeriformes,2013,5,26,-117.85463,34.44599,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110
143608,Empidonax traillii,Aves,Passeriformes,2010,6,11,-116.58022,34.044693,2,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
144560,Agelaius tricolor,Aves,Passeriformes,2012,1,20,-120.02309,35.35177,1,HUMAN_OBSERVATION,BECK,2000,396.3609,926
144632,Empidonax traillii,Aves,Passeriformes,2017,6,5,-116.2235,35.832287,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
144745,Agelaius tricolor,Aves,Passeriformes,2016,5,15,-121.30736,37.44076,4,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112
146078,Buteo swainsoni,Aves,Accipitriformes,2010,5,22,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
146714,Colaptes chrysoides,Aves,Piciformes,1991,4,13,-115.33627,35.160686,2,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
146736,Agelaius tricolor,Aves,Passeriformes,2003,3,2,-120.02309,35.35177,350,HUMAN_OBSERVATION,BECK,2000,396.3609,926
147078,Agelaius tricolor,Aves,Passeriformes,2012,5,14,-118.42872,34.70799,247,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418
147415,Colaptes chrysoides,Aves,Piciformes,2020,6,13,-115.43697,35.163403,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
148402,Haliaeetus leucocephalus,Aves,Accipitriformes,2015,12,2,-121.06041,37.08305,2,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
148555,Buteo swainsoni,Aves,Accipitriformes,2017,5,3,-121.06041,37.08305,6,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
149077,Colaptes chrysoides,Aves,Piciformes,2019,5,26,-115.51266,35.25319,3,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
149870,Empidonax traillii,Aves,Passeriformes,2003,5,30,-117.85744,34.45432,1,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110
150026,Agelaius tricolor,Aves,Passeriformes,2011,3,5,-121.06041,37.08305,NA,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
150244,Agelaius tricolor,Aves,Passeriformes,2011,4,17,-118.42258,34.71664,150,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418
150770,Empidonax traillii,Aves,Passeriformes,1976,9,1,-115.3328,35.15517,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
152609,Colaptes chrysoides,Aves,Piciformes,2011,6,6,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
154796,Empidonax traillii,Aves,Passeriformes,1974,9,19,-116.58022,34.044693,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
155538,Colaptes chrysoides,Aves,Piciformes,2016,5,8,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
156620,Buteo swainsoni,Aves,Accipitriformes,2017,5,6,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
156635,Colaptes chrysoides,Aves,Piciformes,2019,5,18,-115.523964,35.269314,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
157442,Colaptes chrysoides,Aves,Piciformes,2014,3,24,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
157602,Colaptes chrysoides,Aves,Piciformes,2016,4,29,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
157657,Empidonax traillii,Aves,Passeriformes,2008,5,26,-116.22368,35.83723,NA,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
158776,Colaptes chrysoides,Aves,Piciformes,2020,6,13,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
158779,Buteo swainsoni,Aves,Accipitriformes,2014,4,5,-115.43524,35.131176,1,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
159544,Agelaius tricolor,Aves,Passeriformes,2018,1,11,-120.27737,35.82334,1,HUMAN_OBSERVATION,TURKEY,2012,2530.048,975
160355,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,5,15,-121.30736,37.44076,1,HUMAN_OBSERVATION,DEL PUERTO,2020,390647.255599,1112
160440,Colaptes chrysoides,Aves,Piciformes,2010,4,11,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
160679,Haliaeetus leucocephalus,Aves,Accipitriformes,2018,1,5,-120.27737,35.82334,1,HUMAN_OBSERVATION,TURKEY,2012,2530.048,975
161555,Gymnogyps californianus,Aves,Accipitriformes,2005,7,30,-119.44898,34.959522,1,HUMAN_OBSERVATION,SODA,2005,449.4977,678
161555,Gymnogyps californianus,Aves,Accipitriformes,2005,7,30,-119.44898,34.959522,1,HUMAN_OBSERVATION,HUDSON,2017,1182.301,1021
161583,Colaptes chrysoides,Aves,Piciformes,2013,8,31,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
162904,Empidonax traillii,Aves,Passeriformes,2016,9,4,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
163504,Buteo swainsoni,Aves,Accipitriformes,2015,4,24,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
163832,Colaptes chrysoides,Aves,Piciformes,2019,5,26,-115.51266,35.25319,3,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
164008,Colaptes chrysoides,Aves,Piciformes,2017,4,1,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
164323,Empidonax traillii,Aves,Passeriformes,1980,6,1,-116.58022,34.044693,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
164412,Colaptes chrysoides,Aves,Piciformes,2017,11,13,-115.55262,35.31624,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
164811,Buteo swainsoni,Aves,Accipitriformes,2015,4,18,-120.174,35.9561,1,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941
165256,Colaptes chrysoides,Aves,Piciformes,2016,3,20,-115.559975,35.33591,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
166131,Empidonax traillii,Aves,Passeriformes,2015,9,5,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
166260,Haliaeetus leucocephalus,Aves,Accipitriformes,2010,12,6,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
166453,Empidonax traillii,Aves,Passeriformes,1974,9,19,-116.58022,34.044693,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
166480,Buteo swainsoni,Aves,Accipitriformes,1978,5,6,-116.56447,34.035603,1,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
166480,Buteo swainsoni,Aves,Accipitriformes,1978,5,6,-116.56447,34.035603,1,HUMAN_OBSERVATION,MATZ,2017,14.05731,383
166926,Colaptes chrysoides,Aves,Piciformes,2017,4,1,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
168223,Colaptes chrysoides,Aves,Piciformes,2009,6,28,-115.60192,35.277576,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
169072,Agelaius tricolor,Aves,Passeriformes,1989,4,21,-119.95521,35.351353,1,HUMAN_OBSERVATION,SODA,2011,1533.496,974
169580,Empidonax traillii,Aves,Passeriformes,2008,6,14,-116.22368,35.83723,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
170551,Colaptes chrysoides,Aves,Piciformes,2015,11,11,-115.52253,35.26816,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
170871,Haliaeetus leucocephalus,Aves,Accipitriformes,2020,12,1,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
170884,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,11,2,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
171493,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,1,29,-121.03,37.062,1,HUMAN_OBSERVATION,BASALT,2004,410.184,929
172085,Colaptes chrysoides,Aves,Piciformes,2012,4,8,-115.55262,35.31624,3,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
173177,Colaptes chrysoides,Aves,Piciformes,2010,6,1,-115.52253,35.26816,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
173315,Colaptes chrysoides,Aves,Piciformes,2017,4,1,-115.51266,35.25319,2,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
173433,Empidonax traillii,Aves,Passeriformes,2018,6,1,-116.44083,33.11509,1,HUMAN_OBSERVATION,NARROWS,2010,49.86191,296
173637,Colaptes chrysoides,Aves,Piciformes,2005,4,17,-115.60192,35.277576,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
173657,Haliaeetus leucocephalus,Aves,Accipitriformes,2016,9,25,-121.06041,37.08305,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
173782,Empidonax traillii,Aves,Passeriformes,2017,6,10,-116.2235,35.832287,1,HUMAN_OBSERVATION,TECOPA,2010,105.7345,291
175330,Buteo swainsoni,Aves,Accipitriformes,2012,4,2,-120.174,35.9561,1,HUMAN_OBSERVATION,AVENAL,2008,945.3325,941
176527,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,9,7,-121.059135,37.07799,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
176527,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,9,7,-121.059135,37.07799,1,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938
176896,Colaptes chrysoides,Aves,Piciformes,2011,6,6,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
177463,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,9,7,-121.059135,37.07799,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
177463,Haliaeetus leucocephalus,Aves,Accipitriformes,2019,9,7,-121.059135,37.07799,1,HUMAN_OBSERVATION,ROMERO,2008,766.0438,938
177919,Agelaius tricolor,Aves,Passeriformes,2014,3,22,-117.83632,34.43565,8,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110
177971,Agelaius tricolor,Aves,Passeriformes,2010,4,25,-118.42824,34.71742,800,HUMAN_OBSERVATION,POWERHOUSE,2013,30267.57,418
178472,Colaptes chrysoides,Aves,Piciformes,2016,4,23,-115.52041,35.268417,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
178533,Haliaeetus leucocephalus,Aves,Accipitriformes,2014,11,20,-121.06037,37.081837,1,HUMAN_OBSERVATION,ROMERO,2000,1706.85,873
180146,Uma inornata,Reptilia,Squamata,2020,6,2,-116.634964,33.885931,NA,HUMAN_OBSERVATION,BLAISDELL,2005,5491.788,505
180606,Gopherus agassizii,Reptilia,Testudines,2020,5,10,-115.458053,35.155551,NA,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
181615,Rallus obsoletus yumanensis,Aves,Gruiformes,2010,3,1,-114.47947,32.881353,NA,MACHINE_OBSERVATION,SENATOR,2012,47.72357,359
181933,Colaptes chrysoides,Aves,Piciformes,2002,7,4,-115.60192,35.277576,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
184202,Puma concolor,Mammalia,Carnivora,2021,2,2,-116.491302,33.11415,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
184803,Puma concolor,Mammalia,Carnivora,2021,5,24,-116.549781,33.119337,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
186435,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2015,5,3,-116.48599,33.006532,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
190686,Puma concolor,Mammalia,Carnivora,2018,3,7,-116.439233,33.045365,NA,HUMAN_OBSERVATION,BANNER FIRE,2012,5320.116,329
190923,Colaptes chrysoides,Aves,Piciformes,2019,6,12,-115.51266,35.25319,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
191186,Puma concolor,Mammalia,Carnivora,2021,2,17,-116.465207,33.117121,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
192361,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,2,10,-116.4592,33.339504,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
192819,Puma concolor,Mammalia,Carnivora,2018,10,13,-116.445678,33.139073,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
194164,Puma concolor,Mammalia,Carnivora,2018,11,23,-116.489722,33.239722,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
194403,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,8,1,-116.572082,33.721104,NA,HUMAN_OBSERVATION,MOUNTAIN,2013,27523.67,331
194598,Puma concolor,Mammalia,Carnivora,2021,2,19,-116.482596,33.154944,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
194756,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2017,11,5,-116.460326,33.315876,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
194860,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2010,1,24,-116.475288,33.330674,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
195929,Uma inornata,Reptilia,Squamata,2019,5,2,-116.596677,33.864115,NA,HUMAN_OBSERVATION,WINDY POINT,2011,541.494,410
196081,Puma concolor,Mammalia,Carnivora,2018,10,13,-116.445976,33.139283,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
196876,Cyprinodon macularius,Actinopterygii,Cyprinodontiformes,2018,4,16,-116.491592,33.237761,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
197448,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2014,4,27,-116.453499,33.239381,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
198130,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2021,3,13,-116.573019,33.719911,NA,HUMAN_OBSERVATION,MOUNTAIN,2013,27523.67,331
198298,Ammospermophilus nelsoni,Mammalia,Rodentia,2013,4,6,-119.898596,35.067225,NA,HUMAN_OBSERVATION,COTTON,2010,2037.958,1092
198355,Puma concolor,Mammalia,Carnivora,2017,12,2,-116.480864,33.154476,NA,HUMAN_OBSERVATION,STEWART,2012,10630.18,417
199258,Puma concolor,Mammalia,Carnivora,2019,9,9,-116.5691,34.047086,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
199319,Gopherus agassizii,Reptilia,Testudines,2018,4,22,-116.460499,34.182554,NA,HUMAN_OBSERVATION,SAWTOOTH COMPLEX,2006,61767.18,261
199382,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2019,3,8,-116.496453,33.321722,NA,HUMAN_OBSERVATION,EAGLE,2011,13992.99,314
200033,Empidonax traillii,Aves,Passeriformes,2019,5,19,-116.570277,34.047443,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
200215,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2009,5,17,-115.457143,35.163239,NA,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
200452,Canis familiaris,Mammalia,Carnivora,2020,5,13,-117.868767,34.420462,NA,HUMAN_OBSERVATION,BOBCAT,2020,115997.570061,1110
200794,Uma inornata,Reptilia,Squamata,2020,2,17,-116.742639,33.900467,NA,HUMAN_OBSERVATION,ELM,2005,271.6541,76
201123,Gopherus agassizii,Reptilia,Testudines,2011,5,5,-115.500502,35.04149,NA,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
206412,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2012,10,20,-116.484486,33.230816,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
206698,Gopherus agassizii,Reptilia,Testudines,2014,4,6,-116.687901,33.882133,NA,HUMAN_OBSERVATION,VERBENIA,2004,3831.371,82
206762,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2014,11,29,-116.451327,33.235004000000004,NA,HUMAN_OBSERVATION,PINES,2002,61691.24,263
207132,Colaptes chrysoides,Aves,Piciformes,2012,4,15,-115.533394,35.29244,1,HUMAN_OBSERVATION,DOME,2020,44211.0845875,1109
207660,Danaus plexippus,Insecta,Lepidoptera,2010,10,16,-116.567783,34.047289,NA,HUMAN_OBSERVATION,PARADISE,2005,3081.726,271
207980,Ovis canadensis nelsoni,Mammalia,Artiodactyla,2012,4,28,-115.382668,35.160282,NA,HUMAN_OBSERVATION,WILDHORSE,2005,63771.3,565
